Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;{ñ class}
Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;409;1625;2726;1748;632;0
Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico;190;789;3606;1656;468;0
Comércio atacadista de bicicletas, triciclos e outros veículos recreativos;1015;516;1066;338;68;0
Comércio atacadista de móveis e artigos de colchoaria;588;2876;2525;1460;347;0
Comércio atacadista de artigos de tapeçaria, persianas e cortinas;6;34;1139;292;75;0
Comércio atacadista de lustres, luminárias e abajures;0;109;1392;883;57;0
Comércio atacadista de filmes, CDs, DVDs, fitas e discos;13;16;266;20;11;0
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;1388;5625;8072;1788;1870;0
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada;447;680;898;793;218;0
Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas;104;470;5015;759;323;0
Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;901;4232;19252;6041;1175;0
Comércio atacadista de equipamentos de informática;304;2197;14514;3181;943;1
Comércio atacadista de suprimentos para informática;48;909;908;558;202;0
Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;339;1860;10171;2380;560;0
Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário, partes e peças;3508;3635;14131;13724;12633;0
Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção, partes e peças;1889;1430;6866;1164;1495;0
Comércio atacadista de máquinas e equipamentos para uso industrial, partes e peças;583;2639;29836;10023;1118;0
Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar, partes e peças;253;911;7922;1569;463;0
Comércio atacadista de máquinas e equipamentos para uso comercial, partes e peças;510;1102;5718;2521;805;0
Comércio atacadista de bombas e compressores, partes e peças;76;282;1977;536;279;0
Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente, partes e peças;712;2281;20691;5208;2696;0
Comércio atacadista de madeira e produtos derivados;1461;1804;6010;7437;1531;0
Comércio atacadista de ferragens e ferramentas;1158;6895;17561;7318;1921;0
Comércio atacadista de material elétrico;626;4274;9797;3915;1697;0
Comércio atacadista de cimento;757;766;2445;453;221;0
Comércio atacadista de tintas, vernizes e similares;190;358;2765;950;645;0
Comércio atacadista de mármores e granitos;136;457;4399;884;379;0
Comércio atacadista de vidros, espelhos e vitrais;194;943;2250;1050;747;0
Comércio atacadista especializado de materiais de construção não especificados anteriormente;541;1431;6242;1996;650;0
Comércio atacadista de materiais de construção em geral;3559;12808;14287;3839;4082;0
Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re;1242;2903;7329;2655;1389;0
Comércio atacadista de combustíveis realizado por transportador retalhista (TRR);483;586;2885;2741;1723;0
Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante;48;84;1043;498;338;0
Comércio atacadista de combustíveis de origem mineral em bruto;0;32;51;2;27;0
Comércio atacadista de lubrificantes;699;1290;3614;1576;824;0
Comércio atacadista de gás liqüefeito de petróleo (GLP);1546;3283;8826;3223;1412;0
Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;2525;3399;20383;15687;10216;0
Comércio atacadista de resinas e elastômeros;18;176;1211;570;38;0
Comércio atacadista de solventes;0;1;54;42;0;0
Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;465;1539;8744;3337;459;0
Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;202;796;12655;3309;241;0
Comércio atacadista de papel e papelão em bruto;130;195;1691;1056;84;0
Comércio atacadista de embalagens;825;2564;17781;4951;1979;0
Comércio atacadista de resíduos de papel e papelão;120;1288;8799;3846;986;0
Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão;346;1085;6136;1479;444;0
Comércio atacadista de resíduos e sucatas metálicos;1016;3609;18917;5039;1412;0
Comércio atacadista de produtos da extração mineral, exceto combustíveis;129;3120;2594;574;80;0
Comércio atacadista de fios e fibras têxteis beneficiados;5;149;1262;543;34;0
Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;890;2372;24898;9046;1028;0
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;9731;39611;46878;23840;13918;0
Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;845;1283;5317;6031;3002;0
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;3348;10539;43220;5400;3849;0
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;18073;60199;137206;73809;24234;0
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;73219;174892;617196;236640;89826;13
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;32229;105555;194576;59626;28374;30
Lojas de departamentos ou magazines (Desativado);3;4;548;20;41;0
Lojas de variedades, exceto lojas de departamentos ou magazines;2005;5431;18345;6479;3209;1
Lojas duty free de aeroportos internacionais (Desativado);0;0;0;0;0;0
Lojas de departamentos ou magazines, exceto lojas francas (Duty free);10384;24373;59898;20270;5118;0
Lojas francas (Duty Free) de aeroportos, portos e em fronteiras terrestres;0;56;1074;599;39;0
Padaria e confeitaria com predominância de produção própria (Desativado);0;2;0;7;0;0
Padaria e confeitaria com predominância de revenda;7323;22976;128933;29069;18257;1
Comércio varejista de laticínios e frios;856;3920;7656;1418;1677;0
Comércio varejista de doces, balas, bombons e semelhantes;2020;7477;28909;6021;3199;1
Comércio varejista de carnes - açougues;3424;13711;50423;7960;6363;4
Peixaria;532;1506;4254;1198;633;0
Comércio varejista de bebidas;2769;10842;28459;9038;7740;1
Comércio varejista de hortifrutigranjeiros;1731;11924;55097;8566;6629;5
Tabacaria;128;244;1995;1078;562;0
Comércio varejista de mercadorias em lojas de conveniência;3008;5624;11155;6485;3753;3
Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;10240;25113;71157;24127;13348;0
Comércio varejista de combustíveis para veículos automotores;29056;75681;153162;76137;36092;0
Comércio varejista de lubrificantes;905;1355;5722;1902;1078;0
Comércio varejista de tintas e materiais para pintura;2415;6247;22185;10016;4291;0
Comércio varejista de material elétrico;3069;6997;32903;15316;6679;0
Comércio varejista de vidros;2189;5390;19144;7521;3729;0
Comércio varejista de ferragens e ferramentas;9264;13883;57207;23785;12398;0
Comércio varejista de madeira e artefatos;1444;10502;30655;10108;5502;0
Comércio varejista de materiais hidráulicos;456;1928;8032;2758;1062;0
Comércio varejista de cal, areia, pedra britada, tijolos e telhas;732;1101;4577;1740;1387;1
Comércio varejista de materiais de construção não especificados anteriormente;3218;15367;75233;21615;11122;0
Comércio varejista de pedras para revestimento;507;1450;5842;1830;1203;0
Comércio varejista de materiais de construção em geral;28804;75566;133731;57051;33185;9
Comércio varejista especializado de equipamentos e suprimentos de informática (Desativado);3;10;34;9;0;0
Comércio varejista especializado de equipamentos e suprimentos de informática;4993;15251;63723;19345;10761;0
Recarga de cartuchos para equipamentos de informática;41;222;468;127;90;0
Comércio varejista especializado de equipamentos de telefonia e comunicação;4304;13151;38255;14060;8526;0
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;11849;21785;77741;33757;16657;3
Comércio varejista de móveis;11909;49792;75326;41861;15977;2
Comércio varejista de artigos de colchoaria;1030;3805;8796;2476;1537;0
Comércio varejista de artigos de iluminação;183;669;4714;1380;568;2
Comércio varejista de tecidos;3817;9006;12432;4110;3247;10
Comercio varejista de artigos de armarinho;5283;15344;16737;5429;2733;0
Comercio varejista de artigos de cama, mesa e banho;1516;5669;15131;4026;2717;0
Comércio varejista especializado de instrumentos musicais e acessórios;342;804;2371;830;432;0
Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;2572;4709;15908;5889;2659;0
Comércio varejista de artigos de tapeçaria, cortinas e persianas;572;1465;7984;3211;1714;0
Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;3294;9867;40447;16394;6349;8
Comércio varejista de livros;1075;4023;15800;4896;1680;0
Comércio varejista de jornais e revistas;37;263;1783;782;210;0
Comércio varejista de artigos de papelaria;5065;9724;39191;10984;6316;0
Comércio varejista de discos, CDs, DVDs e fitas;43;226;694;234;83;0
Comércio varejista de brinquedos e artigos recreativos;1176;4525;14349;5477;2257;0
Comércio varejista de artigos esportivos;1209;4805;20347;5723;2602;0
Comércio varejista de bicicletas e triciclos, peças e acessórios;1098;3529;6253;2169;1508;0
Comércio varejista de artigos de caça, pesca e camping;812;732;2553;1198;893;0
Comércio varejista de embarcações e outros veículos recreativos, peças e acessórios;528;193;1335;677;275;0
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;26207;95914;222137;83492;41151;6
Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas;2356;8196;37903;11590;4728;0
Comércio varejista de produtos farmacêuticos homeopáticos;90;458;957;325;299;0
Comércio varejista de medicamentos veterinários;4555;5469;10577;6036;8048;0
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;6840;22921;62065;16327;9943;3
Comércio varejista de artigos médicos e ortopédicos;949;3491;10360;3766;1832;0
Comércio varejista de artigos de óptica;5950;22848;40774;13052;7512;4
Comércio varejista de artigos do vestuário e acessórios;40435;107253;307568;119343;57237;22
Comércio varejista de calçados;9317;38659;76748;27946;14645;6
Comércio varejista de artigos de viagem;733;2419;5913;1368;1046;0
Comércio varejista de artigos de joalheria;1380;4760;17463;8000;2583;0
Comércio varejista de artigos de relojoaria;265;821;2292;1209;302;0
Comércio varejista de gás liqüefeito de petróleo (GLP);3691;13863;20109;6451;4781;0
Comércio varejista de antigüidades;24;40;300;76;14;0
Comércio varejista de outros artigos usados;166;861;5006;1208;680;0
Comércio varejista de suvenires, bijuterias e artesanatos;3334;12853;29739;9731;4740;0
Comércio varejista de plantas e flores naturais;846;4008;16509;6746;3086;0
Comércio varejista de objetos de arte;23;232;1476;239;135;0
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;3541;12397;51297;14872;7873;3
Comércio varejista de produtos saneantes domissanitários;853;4125;11160;4575;2370;0
Comércio varejista de fogos de artifício e artigos pirotécnicos;30;105;236;81;65;0
Comércio varejista de equipamentos para escritório;408;750;2515;1163;503;0
Comércio varejista de artigos fotográficos e para filmagem;334;985;3439;1457;366;0
Comércio varejista de armas e munições;197;404;699;560;278;0
Comércio varejista de outros produtos não especificados anteriormente;5431;22622;100999;33647;10180;0
Transporte ferroviário de carga;436;7355;19752;3971;1529;0
Transporte ferroviário de passageiros intermunicipal e interestadual;1;2;0;11;0;0
Transporte ferroviário de passageiros municipal e em região metropolitana;0;2271;15008;0;603;0
Transporte metroviário;0;2063;12738;1075;1209;0
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;17163;42631;166365;34414;19221;0
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana;502;16385;55491;11634;7215;0
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana;647;6541;25286;8933;1487;0
Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual;4171;5620;17915;4256;7448;0
Transporte rodoviário coletivo de passageiros, com itinerário fixo, internacional;0;3;90;62;0;0
Serviço de táxi;144;442;731;114;254;0
Serviço de transporte de passageiros - locação de automóveis com motorista;1103;6824;4362;1637;2223;0
Transporte escolar;2466;2836;14358;4298;1884;0
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;2727;3973;10642;4200;2730;0
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;1534;6473;38669;9996;3068;0
Organização de excursões em veículos rodoviários próprios, municipal;2;106;123;31;15;0
Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional;40;150;290;467;145;0
Outros transportes rodoviários de passageiros não especificados anteriormente;7;39;341;42;22;0
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;8376;17496;82429;26610;15604;0
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;34829;100599;464565;252437;86908;0
Transporte rodoviário de produtos perigosos;2869;13741;50219;15554;8704;1
Transporte rodoviário de mudanças;200;673;2957;1024;456;0
Transporte dutoviário;185;718;5113;276;93;0
Trens turísticos, teleféricos e similares;0;0;101;6;0;0
Transporte marítimo de cabotagem - Carga;293;205;2931;42;0;0
Transporte marítimo de cabotagem - passageiros;48;7;2;5;0;0
Transporte marítimo de longo curso - Carga;54;3;573;59;0;0
Transporte marítimo de longo curso - Passageiros;20;19;0;1;0;0
Transporte por navegação interior de carga, municipal, exceto travessia;306;21;97;52;121;0
Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia;7527;13;350;712;178;0
Transporte por navegação interior de passageiros em linhas regulares, municipal, exceto travessia;208;40;141;36;8;0
Transporte por navegação interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia;1194;509;10;71;10;0
Navegação de apoio marítimo;104;639;17216;1019;1;0
Navegação de apoio portuário;512;1239;2215;660;0;0
Serviços de rebocadores e empurradores;0;0;96;8;0;0
Transporte por navegação de travessia, municipal;629;285;193;124;15;0
Transporte por navegação de travessia, intermunicipal;1004;595;831;391;42;0
Transporte aquaviário para passeios turísticos;21;323;191;424;75;0
Outros transportes aquaviários não especificados anteriormente;194;21;23;14;1;0
Transporte aéreo de passageiros regular;1599;4021;31424;3083;3483;0
Serviço de táxi aéreo e locação de aeronaves com tripulação;625;330;4545;698;538;0
Outros serviços de transporte aéreo de passageiros não-regular;90;61;194;33;18;0
Transporte aéreo de carga;109;227;1152;271;58;0
Transporte espacial;0;0;4;0;0;0
Armazéns gerais - emissão de warrant;2293;4331;37624;13555;7658;0
Guarda-móveis;121;531;2211;192;114;0
Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;1515;3740;22426;7245;2259;1249
Carga e descarga;3384;11207;37379;16810;7375;0
Concessionárias de rodovias, pontes, túneis e serviços relacionados;4;1521;22268;4946;4686;0
Terminais rodoviários e ferroviários;248;2949;3716;787;328;0
Estacionamento de veículos;1244;6809;44940;8501;2520;25
Serviços de apoio ao transporte por táxi, inclusive centrais de chamada;60;197;339;97;41;0
Serviços de reboque de veículos;613;2423;7425;2750;1332;0
Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente;374;1002;6664;1082;379;0
Administração da infra-estrutura portuária;255;1178;1806;544;2;0
Operações de terminais;3149;5562;21883;9603;246;0
Gestão de terminais aquaviários;263;9;522;0;5;0
Atividades de agenciamento marítimo;396;867;8146;2292;32;0
Atividades auxiliares dos transportes aquaviários não especificadas anteriormente(Desativado);0;5;2;0;0;0
Serviços de praticagem;219;157;194;83;0;0
Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;189;594;970;483;10;0
Operação dos aeroportos e campos de aterrissagem;583;1745;5083;798;5250;0
Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem;3380;3940;20326;2224;3768;0
Comissaria de despachos;411;166;5092;1735;8;0
Atividades de despachantes aduaneiros;207;343;2338;1848;89;0
Agenciamento de cargas, exceto para o transporte marítimo;341;1053;8255;2034;577;0
Organização logística do transporte de carga;2283;5020;23173;5231;1855;0
Operador de transporte multimodal - OTM;1727;442;3007;489;311;0
Atividades do Correio Nacional;5162;17672;48517;14538;10505;0
Atividades de franqueadas e permissionárias do Correio Nacional;74;864;6907;1915;586;0
Serviços de malote não realizados pelo Correio Nacional;680;2147;8374;1876;1226;0
Serviços de entrega rápida;2369;10332;15933;5404;3647;0
Hotéis;10969;81109;119851;47815;25373;0
Apart-hotéis;191;879;1521;888;482;0
Motéis;3549;8935;17616;5567;3916;0
Albergues, exceto assistenciais;9;246;516;159;62;0
Campings;20;31;449;192;50;0
Pensões (alojamento);425;897;2028;873;251;0
Outros alojamentos não especificados anteriormente;371;2988;5891;1356;746;0
Restaurantes e similares;33612;143942;417637;142419;76082;22
Bares e outros estabelecimentos especializados em servir bebidas (Desativado);8;46;106;38;26;0
Lanchonetes, casas de chá, de sucos e similares;16472;63678;275850;68018;38732;21
Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento;1036;8228;27461;7518;3734;0
Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento;772;3647;7818;2899;2091;0
Serviços ambulantes de alimentação;326;1349;3952;978;702;0
Fornecimento de alimentos preparados preponderantemente para empresas;13891;29549;137978;36359;12766;0
Serviços de alimentação para eventos e recepções - bufê;1376;3965;21831;3316;4329;0
Cantinas - serviços de alimentação privativos;584;854;14147;1382;720;0
Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;1559;7323;31509;9866;4113;0
Edição de livros;31;984;11974;2053;1355;0
Edição de jornais (Desativado);0;0;1;0;0;0
Edição de jornais diarios;318;627;1738;946;580;0
Edição de jornais nao diarios;3;11;266;150;31;0
Edição de revistas;12;105;2192;353;67;0
Edição de cadastros, listas e outros produtos gráficos;100;201;1091;431;170;0
Edição integrada à impressão de livros;36;1066;5382;1737;62;0
Edição integrada à impressão de jornais (Desativado);1;0;0;0;0;0
Edição integrada à impressão de jornais diarios;462;1296;5534;3071;1124;0
Edição integrada à impressão de jornais nao diarios;0;2;75;394;0;0
Edição integrada à impressão de revistas;24;12;834;158;5;0
Edição integrada à impressão de cadastros, listas e outros produtos gráficos;156;1222;5702;2365;435;0
Estúdios cinematográficos;19;50;566;26;19;0
Produção de filmes para publicidade;261;465;861;449;187;0
Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;90;671;5309;460;1564;0
Serviços de dublagem;0;0;205;0;0;0
Serviços de mixagem sonora em produção audiovisual;0;5;148;7;4;0
Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;31;117;645;183;53;0
Distribuição cinematográfica, de vídeo e de programas de televisão;10;14;1339;39;1;0
Atividades de exibição cinematográfica;698;2075;7575;2090;1208;0
Atividades de gravação de som e de edição de música;57;264;906;248;109;0
Atividades de rádio;1960;5303;9261;9574;2797;0
Atividades de televisão aberta;3018;5823;26553;4729;6003;0
Programadoras;7;148;2314;88;59;0
Atividades relacionadas à televisão por assinatura, exceto programadoras;0;16;686;6;0;0
Serviços de telefonia fixa comutada - STFC;1262;5066;29736;9879;2658;0
Serviços de redes de transporte de telecomunicações - SRTT;5;28;202;106;158;0
Serviços de comunicação multimídia - SCM;7077;36422;44379;15806;11096;0
Serviços de telecomunicações por fio não especificados anteriormente;65;259;337;26;4;0
Telefonia móvel celular;976;2274;17815;2402;2274;0
Serviço móvel especializado - SME;192;412;5217;1061;489;0
Serviços de telecomunicações sem fio não especificados anteriormente;5;123;731;232;62;0
Telecomunicações por satélite;214;5;780;99;269;0
Operadoras de televisão por assinatura por cabo;79;1460;1274;228;59;0
Operadoras de televisão por assinatura por microondas;0;0;0;8;0;0
Operadoras de televisão por assinatura por satélite;0;3;309;14;0;0
Provedores de acesso às redes de comunicações;4493;11857;20904;7040;3278;0
Provedores de voz sobre protocolo internet - VOIP;10;85;273;347;30;0
Outras atividades de telecomunicações não especificadas anteriormente;649;1962;15934;2561;2009;0
Desenvolvimento de programas de computador sob encomenda (Desativado);0;0;27;99;0;0
Desenvolvimento de programas de computador sob encomenda;936;11775;107857;30425;16293;0
web design;31;129;706;291;63;0
Desenvolvimento e licenciamento de programas de computador customizáveis;549;7105;56093;23820;4700;2
Desenvolvimento e licenciamento de programas de computador não-customizáveis;190;4024;43318;22571;7503;0
Consultoria em tecnologia da informação;1777;25163;73006;12355;14254;5
Suporte técnico, manutenção e outros serviços em tecnologia da informação;3601;23499;68808;24460;13157;98
Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;1661;6515;38381;11022;2360;2
Portais, provedores de conteúdo e outros serviços de informação na internet;1124;6860;35814;10593;8160;0
Agências de notícias;53;109;650;134;201;0
Outras atividades de prestação de serviços de informação não especificadas anteriormente;463;2047;7631;1574;1627;0
Banco Central;45;319;1306;265;1439;0
Bancos comerciais;2738;434;1745;1100;154;0
Bancos múltiplos, com carteira comercial;11776;41068;219405;41228;19009;1
Caixas econômicas;4264;15443;34588;13877;21263;0
Bancos cooperativos;0;76;13;423;763;0
Cooperativas centrais de crédito;243;230;752;2949;612;0
Cooperativas de crédito mútuo;4451;3424;29644;37837;12627;0
Cooperativas de crédito rural;937;324;937;5643;697;0
Bancos múltiplos, sem carteira comercial;0;47;3508;895;0;0
Bancos de investimento;0;11;756;15;2;0
Bancos de desenvolvimento;0;76;2842;352;58;0
Agências de fomento;291;383;367;348;246;0
Sociedades de crédito imobiliário;1;604;2;4;0;0
Associações de poupança e empréstimo;40;42;113;61;1076;0
Companhias hipotecárias;0;22;5;54;0;0
Sociedades de crédito, financiamento e investimento - financeiras;3;116;5547;1347;149;0
Sociedades de crédito ao microempreendedor;7;276;138;24;7;0
Bancos de Câmbio;0;0;738;39;0;0
Outras Instituições de Intermediação Não-Monetária não especificadas anteriormente;1;0;27;76;0;0
Arrendamento mercantil;0;0;229;0;0;0
Sociedades de capitalização;10;47;1669;102;34;0
Holdings de instituições financeiras;5;6;1015;74;16;0
Holdings de instituições não-financeiras;1462;5186;45084;7992;6150;0
Outras sociedades de participação, exceto holdings;632;849;9324;1388;825;0
Fundos de investimento, exceto previdenciários e imobiliários;0;0;0;0;0;0
Fundos de investimento previdenciários;0;0;0;0;0;0
Fundos de investimento imobiliários;0;0;1;0;0;0
Sociedades de fomento mercantil - factoring;185;457;2122;436;257;0
Securitização de créditos;9;117;1421;841;158;0
Administração de consórcios para aquisição de bens e direitos;114;915;9237;2407;874;0
Clubes de investimento;0;0;0;0;0;0
Sociedades de investimento;0;0;0;4;0;0
Fundo garantidor de crédito;542;0;6;22;21;0
Caixas de financiamento de corporações;0;0;99;0;0;0
Concessão de crédito pelas OSCIP;35;402;10;730;0;0
Outras atividades de serviços financeiros não especificadas anteriormente;135;444;7148;1885;14203;0
Seguros de vida;62;425;11939;787;322;0
Planos de auxílio-funeral;44;260;910;884;106;0
Seguros não-vida;107;606;27050;2052;999;0
Seguros-saúde;18;40;4301;62;18;0
Resseguros;0;0;671;4;0;0
Previdência complementar fechada;51;610;4113;974;1770;0
Previdência complementar aberta;22;52;2193;459;53;0
Planos de saúde;4935;13908;79578;18820;7463;0
Bolsa de valores;0;0;3;0;0;0
Bolsa de mercadorias;0;0;1;1;3;0
Bolsa de mercadorias e futuros;0;0;2417;81;0;0
Administração de mercados de balcão organizados;0;0;32;0;1;0
Corretoras de títulos e valores mobiliários;51;11;11722;231;2;0
Distribuidoras de títulos e valores mobiliários;8;0;5960;102;66;0
Corretoras de câmbio;48;204;1759;267;44;0
Corretoras de contratos de mercadorias;11;5;98;52;41;0
Agentes de investimentos em aplicações financeiras;0;17;857;158;46;0
Administração de cartões de crédito;151;2920;17674;1450;1186;0
Serviços de liquidação e custódia;0;0;4;0;0;0
Correspondentes de instituições financeiras;382;2186;7500;3444;979;0
Representações de bancos estrangeiros;0;10;92;0;1;0
Caixas eletrônicos;0;0;0;0;0;0
Operadoras de cartões de débito;0;22;1172;0;133;0
Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente;456;3295;26683;2562;617;0
Peritos e avaliadores de seguros;21;157;1163;466;38;0
Auditoria e consultoria atuarial;2417;56;196;124;155;0
Corretores e agentes de seguros, de planos de previdência complementar e de saúde;1428;7119;44914;10529;5948;0
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;34;477;4081;618;103;0
Atividades de administração de fundos por contrato ou comissão;51;229;6995;527;434;0
Compra e venda de imóveis próprios;1237;3862;11174;3117;1583;0
Aluguel de imóveis próprios;898;4928;13309;4125;1634;0
Loteamento de imóveis próprios;349;2125;2463;580;933;0
Corretagem na compra e venda e avaliação de imóveis;982;3809;18815;7891;3036;0
Corretagem no aluguel de imóveis;405;2366;20851;7673;1943;0
Gestão e administração da propriedade imobiliária;3158;16181;32981;10146;5603;0
Serviços advocatícios;4530;14618;56149;20814;11680;3
Atividades auxiliares da justiça;734;66;472;294;37;0
Agente de propriedade industrial;14;102;1430;208;14;0
Cartórios;5532;16549;42327;21679;10936;0
Atividades de contabilidade;12183;39555;158287;65783;29302;0
Atividades de consultoria e auditoria contábil e tributária;177;1721;12210;2420;946;0
Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;8052;23489;110470;15616;7203;1
Serviços de arquitetura;653;1628;5685;1962;1114;0
Serviços de engenharia;15936;48444;168797;39905;15186;10
Serviços de cartografia, topografia e geodésia;1181;2548;5235;1876;1225;0
Atividades de estudos geológicos;821;1221;2729;485;842;0
Serviços de desenho técnico relacionados à arquitetura e engenharia;130;979;3007;1187;361;0
Serviços de perícia técnica relacionados à segurança do trabalho;278;1002;3994;1560;613;0
Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente;55;522;7824;366;357;0
Testes e análises técnicas;1692;4552;27329;4861;2221;0
Pesquisa e desenvolvimento experimental em ciências físicas e naturais;4800;4903;29511;6922;4640;0
Pesquisa e desenvolvimento experimental em ciências sociais e humanas;452;1113;2540;453;85;0
Agências de publicidade;775;3546;22909;4774;1994;0
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;222;1024;3940;1247;656;0
Criação de estandes para feiras e exposições;16;17;254;132;11;0
Promoção de vendas;1374;15422;43231;13486;9223;0
Marketing direto;735;2329;14465;2737;1073;0
Consultoria em publicidade;108;368;2671;451;90;0
Outras atividades de publicidade não especificadas anteriormente;102;770;6557;460;171;0
Pesquisas de mercado e de opinião pública;63;2147;6251;852;340;0
Design;0;0;0;0;0;0
Decoração de interiores;130;373;1404;244;243;0
Design de produtos;5;29;650;203;33;0
Atividades de Design não Especificadas Anteriormente;14;177;742;142;74;0
Atividades de produção de fotografias, exceto aérea e submarina;199;1234;3048;1859;593;0
Atividades de produção de fotografias aéreas e submarinas;1;97;197;94;22;0
Laboratórios fotográficos;96;298;1230;455;130;0
Filmagem de festas e eventos;30;136;478;353;62;0
Serviços de microfilmagem;45;218;1094;144;3;0
Serviços de tradução, interpretação e similares;8;118;933;186;32;0
Escafandria e mergulho;36;222;2091;148;15;0
Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias;2790;4235;5153;2172;3005;3
Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;2692;12175;61767;10251;3395;0
Agenciamento de profissionais para atividades esportivas, culturais e artísticas;51;119;836;423;21;0
Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;1176;2961;21122;4352;825;0
Atividades veterinárias;1398;4522;17679;5401;3194;0
Locação de automóveis sem condutor;5094;21452;41838;7581;5395;0
Locação de embarcações sem tripulação, exceto para fins recreativos;68;74;1231;27;30;0
Locação de aeronaves sem tripulação;1;2;18;7;7;0
Locação de outros meios de transporte não especificados anteriormente, sem condutor;755;2441;4277;852;601;3
Aluguel de equipamentos recreativos e esportivos;250;782;2333;476;309;0
Aluguel de fitas de vídeo, DVDs e similares;22;39;159;90;12;0
Aluguel de objetos do vestuário, jóias e acessórios;262;2250;6160;1880;855;0
Aluguel de aparelhos de jogos eletrônicos;9;86;367;186;21;0
Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal, instrumentos musicais;149;1413;4230;836;876;0
Aluguel de material médico;6;62;256;22;50;0
Aluguel de outros objetos pessoais e domésticos não especificados anteriormente;1;134;657;187;99;0
Aluguel de máquinas e equipamentos agrícolas sem operador;396;2526;3133;380;1231;0
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;2593;12413;32323;5785;6288;0
