Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;{ñ class}
Extração de gemas (pedras preciosas e semipreciosas);51;535;572;12;8;0
Extração de grafita;0;47;908;0;0;0
Extração de quartzo;23;219;675;0;1;0
Extração de amianto;0;0;7;0;438;0
Extração de outros minerais não-metálicos não especificados anteriormente;65;2423;3544;1221;597;0
Atividades de apoio à extração de petróleo e gás natural;378;6200;24088;134;5;1
Atividades de apoio à extração de minério de ferro;83;271;481;0;308;0
Atividades de apoio à extração de minerais metálicos não-ferrosos;115;22;123;7;1016;0
Atividades de apoio à extração de minerais não-metálicos;2;579;618;399;145;0
Frigorífico - abate de bovinos;27373;6608;35955;16083;51021;0
Frigorífico - abate de eqüinos;0;142;81;108;0;0
Frigorífico - abate de ovinos e caprinos;2;80;103;108;16;0
Frigorífico - abate de bufalinos;0;0;0;0;0;0
Matadouro - abate de reses sob contrato, exceto abate de suínos;694;879;1390;857;506;0
Abate de aves;1861;12033;49624;161824;30141;0
Abate de pequenos animais;2;924;287;156;79;0
Frigorífico - abate de suínos;845;122;15800;74191;22525;0
Matadouro - abate de suínos sob contrato;2;1;149;4;137;0
Fabricação de produtos de carne;949;5573;38614;16745;3982;0
Preparação de subprodutos do abate;1207;844;3827;5115;2540;0
Preservação de peixes, crustáceos e moluscos;1890;1867;2417;4972;692;0
Fabricação de conservas de peixes, crustáceos e moluscos;908;2784;3153;7675;693;0
Fabricação de conservas de frutas;3239;10189;7138;3894;2645;0
Fabricação de conservas de palmito;434;206;552;526;26;0
Fabricação de conservas de legumes e outros vegetais, exceto palmito;38;218;3174;2775;2547;0
Fabricação de sucos concentrados de frutas, hortaliças e legumes;613;2787;9301;1678;138;0
Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;496;1308;2577;1326;349;0
Fabricação de óleos vegetais em bruto, exceto óleo de milho;5598;1323;3589;7960;8959;0
Fabricação de óleos vegetais refinados, exceto óleo de milho;2634;976;3986;522;2945;0
Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;13;853;1309;1159;160;0
Preparação do leite;840;1249;6730;4803;896;0
Fabricação de laticínios;4057;9810;44726;22948;8804;0
Fabricação de sorvetes e outros gelados comestíveis;1841;6665;11484;5285;2458;0
Beneficiamento de arroz;1665;1478;3016;13432;2646;0
Fabricação de produtos do arroz;0;69;30;656;46;0
Moagem de trigo e fabricação de derivados;543;8924;5721;8871;1185;0
Fabricação de farinha de mandioca e derivados;109;463;1123;2024;139;0
Fabricação de farinha de milho e derivados, exceto óleos de milho;303;4652;1518;1388;1133;0
Fabricação de amidos e féculas de vegetais;54;761;3338;3587;1090;0
Fabricação de óleo de milho em bruto;0;0;0;112;0;0
Fabricação de óleo de milho refinado;0;0;0;1;0;0
Fabricação de alimentos para animais;2667;7834;30643;20462;10117;0
Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;282;4731;8779;5510;1264;0
Fabricação de açúcar em bruto;0;85138;139606;16974;22240;0
Fabricação de açúcar de cana refinado;35;3977;872;2;58;0
Fabricação de açúcar de cereais (dextrose) e de beterraba;0;0;0;0;0;0
Beneficiamento de café;51;114;833;95;61;0
Torrefação e moagem de café;526;6067;6939;581;1368;0
Fabricação de produtos à base de café;0;1;1194;1344;0;0
Fabricação de produtos de panificação;1;85;31;11;2;0
Fabricação de produtos de panificação industrial;2639;14031;44021;17944;5209;0
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;6605;37064;77310;30921;15128;0
Fabricação de biscoitos e bolachas;1778;10070;21031;9214;2019;0
Fabricação de produtos derivados do cacau e de chocolates;126;2333;15757;6572;183;0
Fabricação de frutas cristalizadas, balas e semelhantes;38;863;7467;4130;72;0
Fabricação de massas alimentícias;239;6788;19079;9640;1834;0
Fabricação de especiarias, molhos, temperos e condimentos;836;1443;8189;1833;2323;0
Fabricação de alimentos e pratos prontos;178;1405;8705;4366;1512;0
Fabricação de vinagres;37;600;615;208;1;0
Fabricação de pós alimentícios;279;72;2948;1892;755;0
Fabricação de fermentos e leveduras;0;58;1507;104;0;0
Fabricação de gelo comum;893;1921;2429;670;653;0
Fabricação de produtos para infusão (chá, mate, etc.);3;124;260;3299;65;0
Fabricação de adoçantes naturais e artificiais;0;0;31;223;361;0
Fabricação de alimentos dietéticos e complementos alimentares;6;215;2842;333;142;0
Fabricação de outros produtos alimentícios não especificados anteriormente;1990;8542;45931;16249;6199;0
Fabricação de aguardente de cana-de-açúcar;43;2286;3163;588;201;0
Fabricação de outras aguardentes e bebidas destiladas;49;475;2292;597;106;0
Fabricação de vinho;50;1164;1180;4295;27;0
Fabricação de malte, inclusive malte uísque;0;0;67;482;0;0
Fabricação de cervejas e chopes;1627;7083;24649;6309;3025;0
Fabricação de águas envasadas;1660;9155;7259;2211;1573;0
Fabricação de refrigerantes;4232;9721;10939;7367;6645;0
Fabricação de chá mate e outros chás prontos para consumo;0;61;53;89;0;0
Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;176;890;5614;121;105;0
Fabricação de bebidas isotônicas;0;0;0;1;3;0
Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente;220;1360;467;76;46;0
Processamento industrial do fumo;0;1417;0;4069;1;0
Fabricação de cigarros;0;193;2236;838;23;0
Fabricação de cigarrilhas e charutos;0;318;324;20;1;0
Fabricação de filtros para cigarros;0;2;46;0;0;0
Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos;0;390;415;647;62;0
Preparação e fiação de fibras de algodão;4;7874;4829;6443;1702;0
Preparação e fiação de fibras têxteis naturais, exceto algodão;1400;1665;1096;834;7;0
Fiação de fibras artificiais e sintéticas;0;1891;5251;3503;0;0
Fabricação de linhas para costurar e bordar;0;698;2889;1855;5;0
Tecelagem de fios de algodão;2;9826;12851;5891;457;0
Tecelagem de fios de fibras têxteis naturais, exceto algodão;350;339;509;319;13;0
Tecelagem de fios de fibras artificiais e sintéticas;20;2747;10125;3707;447;0
Fabricação de tecidos de malha;0;2009;8531;12987;127;0
Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;265;1338;7194;4061;491;0
Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;0;1602;2882;8835;353;0
Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;56;1077;3507;5290;361;0
Fabricação de artefatos têxteis para uso doméstico;134;6016;20522;13116;1836;0
Fabricação de artefatos de tapeçaria;77;677;4932;776;472;0
Fabricação de artefatos de cordoaria;24;674;1505;2169;37;0
Fabricação de tecidos especiais, inclusive artefatos;110;2360;9883;4552;203;0
Fabricação de outros produtos têxteis não especificados anteriormente;470;3076;30433;9430;1413;0
Confecção de roupas íntimas;307;17466;32685;8647;3458;0
Facção de roupas íntimas;60;3925;1501;378;392;0
Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;1412;57686;139825;122989;15577;0
Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;484;3431;16406;4465;1314;0
Facção de peças do vestuário, exceto roupas íntimas;74;7527;15364;28701;3505;6
Confecção de roupas profissionais, exceto sob medida;1190;3573;9314;4007;1740;1
Confecção, sob medida, de roupas profissionais;488;1001;2850;801;623;0
Facção de roupas profissionais;71;349;929;516;160;0
Fabricação de acessórios do vestuário, exceto para segurança e proteção;58;3008;3351;4913;338;0
Fabricação de meias;0;2557;10030;1414;6;0
Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;248;790;5866;5433;2498;0
Curtimento e outras preparações de couro;1751;2247;8013;11885;5780;0
Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;47;1393;5572;4296;320;0
Fabricação de artefatos de couro não especificados anteriormente;186;2662;3763;2776;581;0
Fabricação de calçados de couro;903;60958;22298;41898;1086;0
Acabamento de calçados de couro sob contrato;3;802;2449;17506;0;1
