"Município";"Peixes";"Carpa";"Curimatã, curimbatá";"Dourado";"Jatuarana, piabanha e piracanjuba";"Lambari";"Matrinxã";"Pacu e patinga";"Piau, piapara, piauçu, piava";"Pintado, cachara, cachapira e pintachara, surubim";"Pirapitinga";"Pirarucu";"Tambacu, tambatinga";"Tambaqui";"Tilápia";"Traíra e trairão";"Truta";"Tucunaré";"Outros peixes";"Alevinos";"Camarão";"Larvas e pós-larvas de camarão";"Ostras, vieiras e mexilhões";"Sementes de moluscos";"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)"
"São Miguel da Baixa Grande (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"153";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Miguel do Fidalgo (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Miguel do Tapuio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"47";"796";"111";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Pedro do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"211";"59";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Raimundo Nonato (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sebastião Barros (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Sebastião Leal (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Sigefredo Pacheco (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"58";"74";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Simões (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Simplício Mendes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22";"13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Socorro do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"55";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sussuapara (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"225";"180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tamboril do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"25";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tanque do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Teresina (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"189";"2439";"330";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"União (PI)";"...";"-";"31";"-";"-";"-";"-";"-";"-";"51";"-";"-";"87";"1725";"464";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Uruçuí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"24";"189";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Valença do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"326";"64";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Várzea Grande (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"59";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Vera Mendes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Vila Nova do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Wall Ferraz (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"139";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
