Município;1 - Alimentícios;1.1 - Açaí (fruto);1.2 - Castanha-de-caju;1.3 - Castanha-do-pará;1.4 - Erva-mate;1.5 - Mangaba (fruto);1.6 - Palmito;1.7 - Pequi (fruto);1.8 - Pinhão;1.9 - Umbu (fruto);1.10 - Outros;2 - Aromáticos, medicinais, tóxicos e corantes;2.1 - Ipecacuanha ou poaia (raiz);2.2 - Jaborandi (folha);2.3 - Urucum (semente);2.4 - Outros;3 - Borrachas;3.1 - Caucho;3.2 - Hevea (látex coagulado);3.3 - Hevea (látex líquido);3.4 - Mangabeira;4 - Ceras;4.1 - Carnaúba (cera);4.2 - Carnaúba (pó);4.3 - Outras;5 - Fibras;5.1 - Buriti;5.2 - Carnaúba;5.3 - Piaçava;5.4 - Outras;6 - Gomas não elásticas;6.1 - Balata;6.2 - Maçaranduba;6.3 - Sorva;7.1 - Carvão vegetal;7.2 - Lenha;7.3 - Madeira em tora;8 - Oleaginosos;8.1 - Babaçu (amêndoa);8.2 - Copaíba (óleo);8.3 - Cumaru (amêndoa);8.4 - Licuri (coquilho);8.5 - Oiticica (semente);8.6 - Pequi (amêndoa);8.7 - Tucum (amêndoa);8.8 - Outros;9.1 - Pinheiro brasileiro (nó de pinho);9.2 - Pinheiro brasileiro (árvores abatidas);9.3 - Pinheiro brasileiro (madeira em tora);10 - Tanantes;10.1 - Angico (casca);10.2 - Barbatimão (casca);10.3 - Outros
Barro Duro (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;40;16;6;14;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Batalha (PI);25;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;...;2974;-;2974;-;-;-;-;-;-;-;-;-;-;91;418;155;142;128;-;-;-;-;-;13;-;-;-;-;-;-;-;-
Bela Vista do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Belém do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;2;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Beneditinos (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;805;-;805;-;-;-;-;-;-;-;-;-;-;94;144;26;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bertolínia (PI);-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;26;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;9;32;7;7;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Betânia do Piauí (PI);1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;299;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Boa Hora (PI);142;-;-;-;-;-;-;110;-;-;32;-;-;-;-;-;-;-;-;-;...;53;-;53;-;-;-;-;-;-;-;-;-;-;107;164;10;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-
Bocaina (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;2;50;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bom Jesus (PI);18;-;-;-;-;-;-;0;-;-;18;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;141;348;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bom Princípio do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;48;-;48;-;-;-;-;-;-;-;-;-;-;325;216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bonfim do Piauí (PI);9;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;28;17;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Boqueirão do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;861;-;861;-;-;-;-;-;-;-;-;-;-;120;37;-;31;21;-;-;-;-;-;10;-;-;-;-;-;-;-;-
Brasileira (PI);1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;...;487;-;487;-;-;-;-;-;-;-;-;-;-;68;606;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Brejo do Piauí (PI);8;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;...;79;-;79;-;-;-;-;-;-;-;-;-;-;3;97;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Buriti dos Lopes (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;3228;-;3228;-;-;-;-;-;-;-;-;-;-;65;163;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Buriti dos Montes (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;1511;-;1511;-;-;-;-;-;-;-;-;-;-;98;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cabeceiras do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;855;-;855;-;-;-;-;-;-;-;-;-;-;278;58;37;180;150;-;-;-;-;-;30;-;-;-;-;-;-;-;-
Cajazeiras do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;22;75;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cajueiro da Praia (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;200;-;200;-;-;-;-;-;-;-;-;-;-;160;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caldeirão Grande do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;8;83;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campinas do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;1001;-;1001;-;-;-;-;-;-;-;-;-;-;63;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Alegre do Fidalgo (PI);15;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;257;10;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Grande do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;4;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Largo do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;129;-;129;-;-;-;-;-;-;-;-;-;-;173;8;16;516;516;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Maior (PI);-;-;-;-;-;-;-;-;-;-;-;32;-;32;-;-;-;-;-;-;...;4738;-;4738;-;-;-;-;-;-;-;-;-;-;337;173;15;30;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-
Canavieira (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;184;-;184;-;-;-;-;-;-;-;-;-;-;5;62;7;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Canto do Buriti (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;14;241;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Capitão de Campos (PI);1;-;-;-;-;-;-;1;-;-;0;-;-;-;-;-;-;-;-;-;...;310;-;310;-;-;-;-;-;-;-;-;-;-;215;96;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Capitão Gervásio Oliveira (PI);5;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;12;180;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caracol (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;5;71;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caraúbas do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;1080;-;1080;-;-;-;-;-;-;-;-;-;-;56;64;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caridade do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;23;202;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Castelo do Piauí (PI);1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;...;3956;-;3956;-;-;-;-;-;-;-;-;-;-;404;169;17;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caxingó (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;462;-;462;-;-;-;-;-;-;-;-;-;-;42;40;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cocal (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;2524;-;2524;-;-;-;-;-;-;-;-;-;-;658;381;140;191;25;-;-;-;-;-;165;-;-;-;-;-;-;-;-
Cocal de Telha (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;558;-;558;-;-;-;-;-;-;-;-;-;-;16;80;-;27;22;-;-;-;-;-;5;-;-;-;-;-;-;-;-
Cocal dos Alves (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;272;-;272;-;-;-;-;-;-;-;-;-;-;44;167;-;137;6;-;-;-;-;-;130;-;-;-;-;-;-;-;-
Coivaras (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;1021;-;1021;-;-;-;-;-;-;-;-;-;-;47;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Colônia do Gurguéia (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;1;21;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Colônia do Piauí (PI);16;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;32;235;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Conceição do Canindé (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;962;-;962;-;-;-;-;-;-;-;-;-;-;-;115;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Coronel José Dias (PI);4;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;3;155;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Corrente (PI);0;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;7754;611;240;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cristalândia do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;21;175;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cristino Castro (PI);2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;2615;1234;39;46;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Curimatá (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;111;455;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Currais (PI);25;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;1;218;29;19;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Curralinhos (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;50;61;-;94;94;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Curral Novo do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;5;79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Demerval Lobão (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;317;24;-;31;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dirceu Arcoverde (PI);8;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;6;51;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dom Expedito Lopes (PI);30;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;2;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Domingos Mourão (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;2581;-;2581;-;-;-;-;-;-;-;-;-;-;12;168;32;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dom Inocêncio (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;6;115;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Elesbão Veloso (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;305;-;305;-;-;-;-;-;-;-;-;-;-;175;264;37;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Eliseu Martins (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;3;15;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Esperantina (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;2879;-;2879;-;-;-;-;-;-;-;-;-;-;179;66;32;367;361;-;-;-;-;-;6;-;-;-;-;-;-;-;-
Fartura do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;37;82;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Flores do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;45;68;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Floresta do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;590;-;590;-;-;-;-;-;-;-;-;-;-;30;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Floriano (PI);-;-;-;-;-;-;-;-;-;-;-;137;-;-;-;137;-;-;-;-;...;4804;-;4804;-;-;-;-;-;-;-;-;-;-;114;169;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Francinópolis (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;22;30;3;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Francisco Ayres (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;184;-;184;-;-;-;-;-;-;-;-;-;-;15;93;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Francisco Macedo (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;11;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Francisco Santos (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;18;-;18;-;-;-;-;-;-;-;-;-;-;3;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fronteiras (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;7;71;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Geminiano (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;30;-;30;-;-;-;-;-;-;-;-;-;-;4;162;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gilbués (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;349;450;84;34;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Guadalupe (PI);-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;17;-;-;-;-;...;101;-;101;-;-;-;-;-;-;-;-;-;-;27;94;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Guaribas (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;4;64;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hugo Napoleão (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;36;25;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ilha Grande (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;1456;-;1456;-;-;-;-;-;-;-;-;-;-;65;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Inhuma (PI);79;-;-;-;-;-;-;19;-;2;57;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;23;139;25;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ipiranga do Piauí (PI);11;-;-;-;-;-;-;4;-;-;7;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;18;80;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Isaías Coelho (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;161;-;161;-;-;-;-;-;-;-;-;-;-;10;105;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Itainópolis (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;1987;-;1987;-;-;-;-;-;-;-;-;-;-;10;175;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Itaueira (PI);-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;17;-;-;-;-;...;414;-;414;-;-;-;-;-;-;-;-;-;-;61;86;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jacobina do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;3;209;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jaicós (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;62;-;62;-;-;-;-;-;-;-;-;-;-;27;189;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jardim do Mulato (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;7;54;-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jatobá do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;307;-;307;-;-;-;-;-;-;-;-;-;-;57;117;15;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-
Jerumenha (PI);-;-;-;-;-;-;-;-;-;-;-;121;-;-;-;121;-;-;-;-;...;101;-;101;-;-;-;-;-;-;-;-;-;-;469;828;13;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
João Costa (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;42;171;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Joaquim Pires (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;1492;-;1492;-;-;-;-;-;-;-;-;-;-;66;64;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Joca Marques (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;53;-;53;-;-;-;-;-;-;-;-;-;-;9;60;9;145;144;-;-;-;-;-;0;-;-;-;-;-;-;-;-
José de Freitas (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;1130;-;1130;-;-;-;-;-;-;-;-;-;-;274;354;31;188;178;-;-;-;-;-;10;-;-;-;-;-;-;-;-
Juazeiro do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;3096;-;3096;-;-;-;-;-;-;-;-;-;-;343;105;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Júlio Borges (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;46;131;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jurema (PI);3;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;16;91;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lagoinha do Piauí (PI);16;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;15;6;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lagoa Alegre (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;2481;-;2481;-;-;-;-;-;-;-;-;-;-;181;26;3;235;234;-;-;-;-;-;1;-;-;-;-;-;-;-;-
Lagoa do Barro do Piauí (PI);6;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lagoa de São Francisco (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;380;-;380;-;-;-;-;-;-;-;-;-;-;148;336;27;26;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lagoa do Piauí (PI);33;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;...;18;-;18;-;-;-;-;-;-;-;-;-;-;66;24;18;15;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lagoa do Sítio (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;40;102;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Landri Sales (PI);-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;69;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;7;63;20;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Luís Correia (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;3775;-;3775;-;-;-;-;-;-;-;-;-;-;279;124;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Luzilândia (PI);-;-;-;-;-;-;-;-;-;-;-;271;-;271;-;-;-;-;-;-;...;1691;-;1691;-;-;-;-;-;-;-;-;-;-;91;66;134;426;423;-;-;-;-;-;2;-;-;-;-;-;-;-;-
Madeiro (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;79;-;79;-;-;-;-;-;-;-;-;-;-;49;61;17;128;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Manoel Emídio (PI);6;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;49;30;-;17;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Marcolândia (PI);57;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;17;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Marcos Parente (PI);-;-;-;-;-;-;-;-;-;-;-;166;-;-;-;166;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;33;86;6;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Massapê do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;691;-;691;-;-;-;-;-;-;-;-;-;-;3;131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Matias Olímpio (PI);-;-;-;-;-;-;-;-;-;-;-;124;-;124;-;-;-;-;-;-;...;3594;-;3594;-;-;-;-;-;-;-;-;-;-;92;10;12;247;247;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Miguel Alves (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;347;-;347;-;-;-;-;-;-;-;-;-;-;700;41;18;844;840;-;-;-;-;-;4;-;-;-;-;-;-;-;-
Miguel Leão (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;33;9;-;20;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Milton Brandão (PI);1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;...;462;-;462;-;-;-;-;-;-;-;-;-;-;155;110;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Monsenhor Gil (PI);2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;...;105;-;105;-;-;-;-;-;-;-;-;-;-;185;72;3;38;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Monsenhor Hipólito (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;228;-;228;-;-;-;-;-;-;-;-;-;-;11;399;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Monte Alegre do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;85;486;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Morro Cabeça no Tempo (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;53;20;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
