Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Atividades de apoio à extração de petróleo e gás natural;417;4134;15811;121;3
Atividades de apoio à extração de minério de ferro;34;243;628;0;45
Atividades de apoio à extração de minerais metálicos não-ferrosos;152;13;150;11;154
Atividades de apoio à extração de minerais não-metálicos;53;932;799;390;137
Frigorífico - abate de bovinos;24923;5370;31345;17454;49925
Frigorífico - abate de eqüinos;0;124;2;116;1
Frigorífico - abate de ovinos e caprinos;1;53;20;74;0
Frigorífico - abate de bufalinos;2;41;0;0;0
Matadouro - abate de reses sob contrato, exceto abate de suínos;596;1100;1523;625;484
Abate de aves;1366;9209;40359;118167;20822
Abate de pequenos animais;10;1122;426;83;88
Frigorífico - abate de suínos;760;50;13014;58948;20279
Matadouro - abate de suínos sob contrato;5;0;88;2;50
Fabricação de produtos de carne;1704;4352;32329;13571;2763
Preparação de subprodutos do abate;840;651;3497;3957;1533
Preservação de peixes, crustáceos e moluscos;964;1661;1624;2984;241
Fabricação de conservas de peixes, crustáceos e moluscos;963;1323;1638;6567;588
Fabricação de conservas de frutas;2165;7723;6638;3768;3167
Fabricação de conservas de palmito;453;304;523;502;47
Fabricação de conservas de legumes e outros vegetais, exceto palmito;90;137;2940;2198;1142
Fabricação de sucos concentrados de frutas, hortaliças e legumes;420;3180;6932;1526;207
Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;258;1710;4132;959;74
Fabricação de óleos vegetais em bruto, exceto óleo de milho;4332;1875;2550;7112;6167
Fabricação de óleos vegetais refinados, exceto óleo de milho;744;860;3236;428;2763
Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;0;691;1973;1064;256
Preparação do leite;245;1244;7301;3890;783
Fabricação de laticínios;4661;9041;37145;20673;8993
Fabricação de sorvetes e outros gelados comestíveis;1502;6525;9878;4568;2490
Beneficiamento de arroz;1533;1090;2878;13054;2411
Fabricação de produtos do arroz;9;34;38;695;19
Moagem de trigo e fabricação de derivados;692;6092;6666;7963;962
Fabricação de farinha de mandioca e derivados;82;491;1250;2174;127
Fabricação de farinha de milho e derivados, exceto óleos de milho;205;4226;1464;1595;847
Fabricação de amidos e féculas de vegetais;37;738;3406;3178;1061
Fabricação de óleo de milho em bruto;0;0;2;181;0
Fabricação de óleo de milho refinado;0;0;0;0;0
Fabricação de alimentos para animais;1848;6545;23445;15900;8043
Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;1016;4820;8754;5072;1290
Fabricação de açúcar em bruto;0;85654;126400;23611;19350
Fabricação de açúcar de cana refinado;10;1212;791;0;3
Fabricação de açúcar de cereais (dextrose) e de beterraba;0;1;0;0;0
Beneficiamento de café;60;102;741;86;5
Torrefação e moagem de café;463;5524;7269;1207;1827
Fabricação de produtos à base de café;15;11;1059;1482;79
Fabricação de produtos de panificação;0;0;0;0;0
Fabricação de produtos de panificação industrial;1543;12401;33056;16194;4384
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;3004;22318;33600;15095;6403
Fabricação de biscoitos e bolachas;1531;11326;21024;10673;2636
Fabricação de produtos derivados do cacau e de chocolates;109;3705;13918;5733;129
Fabricação de frutas cristalizadas, balas e semelhantes;54;912;6453;4019;102
Fabricação de massas alimentícias;665;11919;23375;9802;1487
Fabricação de especiarias, molhos, temperos e condimentos;502;1357;7715;1413;2083
Fabricação de alimentos e pratos prontos;440;1220;6635;3651;964
Fabricação de vinagres;38;639;604;212;4
Fabricação de pós alimentícios;163;77;1997;964;520
Fabricação de fermentos e leveduras;1;51;920;113;0
Fabricação de gelo comum;779;1426;2374;592;473
Fabricação de produtos para infusão (chá, mate, etc.);0;28;188;3594;61
Fabricação de adoçantes naturais e artificiais;0;0;69;110;258
Fabricação de alimentos dietéticos e complementos alimentares;0;72;18;39;82
Fabricação de outros produtos alimentícios não especificados anteriormente;1917;8692;45862;14585;6074
Fabricação de aguardente de cana-de-açúcar;39;2707;2923;459;165
Fabricação de outras aguardentes e bebidas destiladas;14;815;1859;409;132
Fabricação de vinho;53;708;1308;3734;7
Fabricação de malte, inclusive malte uísque;0;0;51;434;0
Fabricação de cervejas e chopes;1715;7771;20130;4692;3307
Fabricação de águas envasadas;1378;7837;6992;1814;1589
Fabricação de refrigerantes;4161;10345;13842;5762;5844
Fabricação de chá mate e outros chás prontos para consumo;1;5;87;79;2
Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;423;793;2979;124;679
Fabricação de bebidas isotônicas;0;3;1;0;0
Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente;261;202;335;37;7
Processamento industrial do fumo;0;128;1;3901;0
Fabricação de cigarros;43;174;2011;1370;30
Fabricação de cigarrilhas e charutos;0;166;115;15;0
Fabricação de filtros para cigarros;0;0;17;0;0
Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos;0;509;192;722;70
Preparação e fiação de fibras de algodão;0;7686;4836;6200;1583
Preparação e fiação de fibras têxteis naturais, exceto algodão;1480;1870;1675;767;4
Fiação de fibras artificiais e sintéticas;5;1899;4715;2871;0
Fabricação de linhas para costurar e bordar;0;646;2692;1859;3
Tecelagem de fios de algodão;3;9706;12816;3122;380
Tecelagem de fios de fibras têxteis naturais, exceto algodão;470;1046;494;307;8
Tecelagem de fios de fibras artificiais e sintéticas;25;2528;9375;3511;225
Fabricação de tecidos de malha;4;2846;8712;12243;202
Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;127;656;8879;4605;179
Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;1;1017;2593;8188;157
Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;93;861;3484;5429;207
Fabricação de artefatos têxteis para uso doméstico;113;5967;19365;14574;1543
Fabricação de artefatos de tapeçaria;88;783;4263;716;457
Fabricação de artefatos de cordoaria;22;285;1223;1765;46
Fabricação de tecidos especiais, inclusive artefatos;35;1827;7029;3915;170
Fabricação de outros produtos têxteis não especificados anteriormente;236;3406;28635;8879;1423
Confecção de roupas íntimas;296;16366;35541;8910;3252
Facção de roupas íntimas;52;3769;1667;531;216
Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;1242;56036;144773;118274;14323
Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;327;4646;16958;6016;1491
Facção de peças do vestuário, exceto roupas íntimas;22;6504;14090;25508;3446
Confecção de roupas profissionais, exceto sob medida;913;2118;7607;3349;1354
Confecção, sob medida, de roupas profissionais;428;1225;2871;748;440
Facção de roupas profissionais;108;320;480;398;74
Fabricação de acessórios do vestuário, exceto para segurança e proteção;44;2711;4865;4330;309
Fabricação de meias;0;2075;6634;876;10
Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;202;951;5195;4902;1819
Curtimento e outras preparações de couro;2055;2882;8639;13086;6139
Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;31;1385;5598;3988;254
Fabricação de artefatos de couro não especificados anteriormente;138;1174;3856;2638;460
Fabricação de calçados de couro;337;56497;23827;43385;780
Acabamento de calçados de couro sob contrato;0;296;2407;16323;5
Fabricação de tênis de qualquer material;0;6207;8518;1990;303
Fabricação de calçados de material sintético;30;25292;12378;22224;1245
Fabricação de calçados de materiais não especificados anteriormente;22;15049;12589;3202;187
Fabricação de partes para calçados, de qualquer material;1;2111;6888;10857;164
Serrarias com desdobramento de madeira (Desativado);0;0;0;0;0
Serrarias sem desdobramento de madeira (Desativado);0;0;0;0;0
Serrarias com desdobramento de madeira em bruto;10403;611;7912;30959;7536
Serrarias sem desdobramento de madeira em bruto  Resserragem;858;106;1059;1440;638
Serviço de tratamento de madeira realizado sob contrato;0;4;72;112;47
Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;4967;239;4895;25321;1865
Fabricação de casas de madeira pré-fabricadas;13;48;178;236;10
Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;763;1862;3159;14345;933
Fabricação de outros artigos de carpintaria para construção;48;652;1609;981;299
Fabricação de artefatos de tanoaria e de embalagens de madeira;224;1001;7797;4549;328
Fabricação de artefatos diversos de madeira, exceto móveis;986;1181;8364;10284;1079
Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;7;72;426;265;20
Fabricação de celulose e outras pastas para a fabricação de papel;832;3943;4334;3722;5243
Fabricação de papel;954;2990;15617;19457;867
Fabricação de cartolina e papel-cartão;0;0;1373;2234;0
Fabricação de embalagens de papel;111;2337;10857;6747;1025
Fabricação de embalagens de cartolina e papel-cartão;45;339;6442;2026;79
Fabricação de chapas e de embalagens de papelão ondulado;1287;2120;20462;8372;601
Fabricação de formulários contínuos;33;7;165;205;197
Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo;762;1846;11021;4427;1162
Fabricação de fraldas descartáveis;0;812;3377;864;1228
Fabricação de absorventes higiênicos;0;218;9;10;0
Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;142;1261;4970;3622;110
Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;337;548;6551;3127;702
Impressão de jornais;80;720;1482;409;163
Impressão de livros, revistas e outras publicações periódicas;225;2621;10156;2362;895
Impressão de material de segurança;227;1295;7046;604;444
Impressão de material para uso publicitário;1120;3980;9375;4451;1533
Impressão de material para outros usos;654;3369;14335;8675;1728
Serviços de pré-impressão;435;1385;8085;1977;864
Serviços de acabamentos gráficos (Desativado);0;0;0;0;0
Serviços de encadernação e plastificação;36;204;809;229;38
Serviços de acabamentos gráficos, exceto encadernação e plastificação;151;913;3461;1319;265
Reprodução de som em qualquer suporte;418;34;204;6;17
Reprodução de vídeo em qualquer suporte;6;44;57;41;2
Reprodução de software em qualquer suporte;19;71;197;156;82
Coquerias;0;2;307;246;0
Fabricação de produtos do refino de petróleo;431;2123;18911;2288;55
Formulação de combustíveis;0;0;91;0;1
Rerrefino de óleos lubrificantes;112;33;1979;155;0
Fabricação de outros produtos derivados do petróleo, exceto produtos do refino;6;69;2892;229;4
Fabricação de álcool;2006;18877;46422;5246;34068
Fabricação de biocombustíveis, exceto álcool;398;305;421;670;1060
Fabricação de cloro e álcalis;0;516;529;133;0
Fabricação de intermediários para fertilizantes;66;211;2967;489;300
Fabricação de adubos e fertilizantes (Desativado);0;0;0;0;0
Fabricação de adubos e fertilizantes organominerais;38;319;3296;1829;797
Fabricação de adubos e fertilizantes, exceto organominerais;335;3139;8989;7841;2584
Fabricação de gases industriais;275;664;2920;596;176
Elaboração de combustíveis nucleares;0;296;1053;0;0
Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;32;959;5346;853;123
Fabricação de produtos petroquímicos básicos;8;1545;3143;764;188
Fabricação de intermediários para plastificantes, resinas e fibras;0;619;789;221;5
Fabricação de produtos químicos orgânicos não especificados anteriormente;14;914;9832;1991;323
Fabricação de resinas termoplásticas;686;1093;4403;1505;2
Fabricação de resinas termofixas;0;148;1997;516;0
Fabricação de elastômeros;0;144;575;309;0
Fabricação de fibras artificiais e sintéticas;0;756;2016;205;22
Fabricação de defensivos agrícolas;0;252;5858;1339;116
Fabricação de desinfestantes domissanitários;7;171;855;572;111
Fabricação de sabões e detergentes sintéticos;705;5551;11684;2632;1764
Fabricação de produtos de limpeza e polimento;604;5085;11280;2207;914
Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;780;3183;33735;5745;3752
Fabricação de tintas, vernizes, esmaltes e lacas;451;2950;14856;5111;1301
Fabricação de tintas de impressão;0;16;1538;301;0
Fabricação de impermeabilizantes, solventes e produtos afins;113;502;2061;837;95
Fabricação de adesivos e selantes;100;206;4202;1391;30
Fabricação de pólvoras, explosivos e detonantes;203;141;1538;668;98
Fabricação de artigos pirotécnicos;0;46;2671;3;0
Fabricação de fósforos de segurança;0;0;83;1171;0
Fabricação de aditivos de uso industrial;113;421;8044;1275;209
Fabricação de catalisadores;0;0;488;37;0
Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia;180;1;752;13;3
Fabricação de outros produtos químicos não especificados anteriormente;560;2222;24272;6718;1123
Fabricação de produtos farmoquímicos;33;283;3861;387;402
Fabricação de medicamentos alopáticos para uso humano;657;5188;56394;5908;13223
Fabricação de medicamentos homeopáticos para uso humano;2;34;346;78;16
Fabricação de medicamentos fitoterápicos para uso humano;2;11;872;530;19
Fabricação de medicamentos para uso veterinário;4;287;8330;1034;417
Fabricação de preparações farmacêuticas;0;135;2735;497;25
Fabricação de pneumáticos e de câmaras-de-ar;751;4690;18150;5233;22
Reforma de pneumáticos usados;1264;2394;6505;4325;1695
Fabricação de artefatos de borracha não especificados anteriormente;305;2852;32294;9985;465
Fabricação de laminados planos e tubulares de material plástico;451;1686;9759;3464;644
Fabricação de embalagens de material plástico;3529;13866;62304;32089;5461
Fabricação de tubos e acessórios de material plástico para uso na construção;177;1942;3906;4104;553
Fabricação de artefatos de material plástico para uso pessoal e doméstico;345;4438;22474;8215;254
Fabricação de artefatos de material plástico para usos industriais;2797;4198;31929;15254;133
Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios;269;2104;6102;6410;792
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;1842;4693;38655;17576;1097
Fabricação de vidro plano e de segurança;1006;1997;10596;3316;1205
Fabricação de embalagens de vidro;0;718;6165;243;6
Fabricação de artigos de vidro;30;1746;9563;4420;245
Fabricação de cimento;1047;3355;4855;1824;1829
Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;1586;7423;10668;8220;2957
Fabricação de artefatos de cimento para uso na construção;560;4058;13633;8994;2719
Fabricação de artefatos de fibrocimento para uso na construção;370;366;1462;1739;517
Fabricação de casas pré-moldadas de concreto;4;7;58;72;13
Preparação de massa de concreto e argamassa para construção;639;1351;7289;3700;1293
Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;813;3591;7261;4390;1186
Fabricação de produtos cerâmicos refratários;225;1163;5999;706;429
Fabricação de azulejos e pisos;30;4693;13910;9554;58
Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;6928;24588;25929;10953;5862
Fabricação de material sanitário de cerâmica;0;2927;5542;491;0
Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;79;1121;6583;4412;483
Britamento de pedras, exceto associado à extração;107;710;1256;526;150
Aparelhamento de pedras para construção, exceto associado à extração;67;444;3397;581;206
Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;715;4480;23512;6704;2401
Fabricação de cal e gesso;50;2407;3287;1683;114
Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;15;351;3046;774;40
Fabricação de abrasivos;0;1;136;55;0
Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;161;1630;12905;1918;294
Produção de ferro-gusa;232;1851;9028;1;440
Produção de ferroligas;46;1948;5085;63;1040
Produção de semi-acabados de aço;3;2440;4060;49;2
Produção de laminados planos de aço ao carbono, revestidos ou não;50;338;27986;682;50
Produção de laminados planos de aços especiais;0;0;2991;18;0
Produção de tubos de aço sem costura;0;25;5564;21;0
Produção de laminados longos de aço, exceto tubos;1258;1796;15734;2390;150
Produção de arames de aço;0;548;3807;84;141
Produção de relaminados, trefilados e perfilados de aço, exceto arames;76;605;5480;827;521
Produção de tubos de aço com costura;2;2136;4821;1627;160
Produção de outros tubos de ferro e aço;18;122;1632;346;16
Produção de alumínio e suas ligas em formas primárias;3365;1476;7643;724;209
Produção de laminados de alumínio;1;910;5222;1393;115
Metalurgia dos metais preciosos;125;10;638;27;4
Metalurgia do cobre;27;1085;3694;165;118
Produção de zinco em formas primárias;0;4;1467;20;0
Produção de laminados de zinco;0;20;29;2;3
Produção de soldas e ânodos para galvanoplastia;3;9;130;19;0
Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente;839;397;8070;1670;96
Fundição de ferro e aço;105;695;19989;23430;146
Fundição de metais não-ferrosos e suas ligas;519;200;7984;4055;183
Fabricação de estruturas metálicas;1823;5533;20011;12810;4052
Fabricação de esquadrias de metal;629;6164;23606;15442;3406
Fabricação de obras de caldeiraria pesada;226;1689;9300;1025;97
Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;150;470;3504;1982;369
Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;1;31;2020;820;10
Produção de forjados de aço;0;91;2285;1138;28
Produção de forjados de metais não-ferrosos e suas ligas;0;22;991;209;28
Produção de artefatos estampados de metal;1432;976;15168;5535;835
Metalurgia do pó;2;5;986;336;0
Serviços de usinagem, solda, tratamento e revestimento em metais (Desativado);0;0;0;0;0
Serviços de usinagem, tornearia e solda;606;2938;18832;10022;1604
Serviços de tratamento e revestimento em metais;20;418;5777;2281;96
Fabricação de artigos de cutelaria;1326;43;968;5645;22
Fabricação de artigos de serralheria, exceto esquadrias;343;2815;19716;5830;1766
Fabricação de ferramentas;60;93;11328;9543;212
Fabricação de equipamento bélico pesado, exceto veículos militares de combate;0;0;2240;187;19
Fabricação de armas de fogo e munições;0;0;2071;3014;0
Fabricação de embalagens metálicas;574;2064;12135;2330;916
Fabricação de produtos de trefilados de metal padronizados;140;662;7185;5015;141
Fabricação de produtos de trefilados de metal, exceto padronizados;71;416;8627;2014;208
Fabricação de artigos de metal para uso doméstico e pessoal;147;2540;9373;8051;326
Serviços de confecção de armações metálicas para a construção;198;684;2850;992;466
Serviços de corte e dobra de metais;15;88;516;220;60
Fabricação de outros produtos de metal não especificados anteriormente;749;1998;47583;22398;2695
Fabricação de componentes eletrônicos;10075;385;12735;6317;148
Fabricação de equipamentos de informática;1181;680;5821;1534;34
Fabricação de periféricos para equipamentos de informática;5835;224;16377;2341;21
Fabricação de equipamentos transmissores de comunicação, peças e acessórios;297;153;4283;1505;25
Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios;839;20;6131;2993;0
Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;5639;439;2830;2121;108
Fabricação de aparelhos e equipamentos de medida, teste e controle;307;292;11477;5671;186
Fabricação de cronômetros e relógios;1474;2;543;316;0
Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;0;50;4512;848;82
