"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Caprino";"Ovino";"Galináceos - total";"Codornas"
"Santana do Piauí (PI)";"949";"-";"49";"546";"95";"181";"8385";"-"
"Santa Rosa do Piauí (PI)";"5700";"-";"237";"1460";"1982";"4764";"9320";"-"
"Santo Antônio de Lisboa (PI)";"2720";"-";"40";"1143";"840";"961";"11872";"-"
"Santo Antônio dos Milagres (PI)";"264";"-";"22";"1300";"450";"205";"7160";"-"
"Santo Inácio do Piauí (PI)";"5035";"-";"260";"2510";"6701";"6513";"11518";"-"
"São Braz do Piauí (PI)";"1307";"-";"279";"2091";"4593";"4794";"18182";"-"
"São Félix do Piauí (PI)";"6050";"-";"115";"950";"6850";"7548";"5502";"-"
"São Francisco de Assis do Piauí (PI)";"4181";"-";"443";"2662";"22534";"17335";"9057";"-"
"São Francisco do Piauí (PI)";"6240";"-";"277";"4650";"12185";"7037";"23584";"-"
"São Gonçalo do Gurguéia (PI)";"6288";"-";"205";"1120";"183";"787";"9445";"-"
"São Gonçalo do Piauí (PI)";"2480";"-";"42";"1760";"864";"366";"12240";"-"
"São João da Canabrava (PI)";"1224";"-";"48";"1990";"1834";"1463";"6156";"-"
"São João da Fronteira (PI)";"3012";"-";"113";"3064";"6516";"3124";"6420";"-"
"São João da Serra (PI)";"8856";"-";"469";"2317";"16798";"12747";"14529";"-"
"São João da Varjota (PI)";"1541";"-";"72";"2271";"932";"640";"8601";"-"
"São João do Arraial (PI)";"2329";"-";"64";"5995";"3394";"170";"19801";"-"
"São João do Piauí (PI)";"6594";"-";"586";"5536";"18249";"17105";"21647";"-"
"São José do Divino (PI)";"8972";"-";"207";"2878";"8824";"5485";"12083";"-"
"São José do Peixe (PI)";"6176";"-";"354";"1132";"3485";"6895";"5518";"-"
"São José do Piauí (PI)";"3432";"-";"255";"2861";"340";"237";"23412";"-"
"São Julião (PI)";"2892";"-";"131";"1315";"4589";"9102";"7762";"-"
"São Lourenço do Piauí (PI)";"1945";"-";"129";"7248";"28344";"19657";"17398";"-"
"São Luis do Piauí (PI)";"1554";"-";"69";"3517";"5012";"2262";"8259";"-"
"São Miguel da Baixa Grande (PI)";"2589";"-";"50";"1190";"2738";"3025";"3750";"-"
"São Miguel do Fidalgo (PI)";"3555";"-";"223";"1588";"2634";"3102";"7625";"-"
"São Miguel do Tapuio (PI)";"16140";"-";"355";"7905";"36648";"22229";"42571";"-"
"São Pedro do Piauí (PI)";"6628";"-";"145";"3060";"998";"486";"99905";"-"
"São Raimundo Nonato (PI)";"4522";"-";"459";"10637";"45518";"21887";"56344";"-"
"Sebastião Barros (PI)";"17785";"-";"722";"1249";"1480";"3348";"21075";"-"
"Sebastião Leal (PI)";"8124";"-";"110";"758";"215";"863";"15793";"-"
"Sigefredo Pacheco (PI)";"7313";"-";"451";"10494";"24439";"11597";"33798";"-"
"Simões (PI)";"7698";"-";"692";"2730";"9820";"32846";"29865";"-"
"Simplício Mendes (PI)";"10429";"-";"625";"3559";"12779";"20187";"35395";"-"
"Socorro do Piauí (PI)";"3850";"-";"168";"1959";"10202";"3856";"6844";"-"
"Sussuapara (PI)";"2177";"-";"58";"1635";"987";"972";"15831";"-"
"Tamboril do Piauí (PI)";"2592";"-";"194";"3350";"9417";"3118";"12709";"-"
"Tanque do Piauí (PI)";"1294";"-";"48";"1123";"1975";"510";"10181";"-"
"Teresina (PI)";"10493";"12";"531";"13668";"5009";"5237";"2685241";"6825"
"União (PI)";"10183";"-";"977";"29691";"13071";"8386";"128265";"-"
"Uruçuí (PI)";"21031";"-";"251";"3871";"1131";"1380";"265010";"-"
"Valença do Piauí (PI)";"6838";"-";"238";"3872";"4293";"6206";"441873";"-"
"Várzea Branca (PI)";"2519";"-";"445";"3432";"16767";"6581";"17443";"-"
"Várzea Grande (PI)";"1692";"-";"50";"1522";"2100";"1452";"16461";"-"
"Vera Mendes (PI)";"2297";"-";"193";"2559";"13467";"10215";"11175";"-"
"Vila Nova do Piauí (PI)";"3502";"-";"167";"820";"1371";"5889";"7960";"-"
"Wall Ferraz (PI)";"3732";"-";"178";"4522";"3654";"7035";"16980";"-"
