Município;Leite;Ovos de galinha;Ovos de codorna;Mel de abelha;Casulos do bicho-da-seda;Lã
Ribeiro Gonçalves (PI);435;898;-;-;-;-
Rio Grande do Piauí (PI);420;312;-;495;-;-
Santa Cruz do Piauí (PI);639;196;-;142;-;-
Santa Cruz dos Milagres (PI);235;116;-;-;-;-
Santa Filomena (PI);691;169;-;-;-;-
Santa Luz (PI);1033;203;-;-;-;-
Santana do Piauí (PI);105;134;-;441;-;-
Santa Rosa do Piauí (PI);830;139;-;-;-;-
Santo Antônio de Lisboa (PI);218;201;-;154;-;-
Santo Antônio dos Milagres (PI);54;82;-;-;-;-
Santo Inácio do Piauí (PI);555;169;-;829;-;-
São Braz do Piauí (PI);334;304;-;2348;-;-
São Félix do Piauí (PI);895;71;-;-;-;-
São Francisco de Assis do Piauí (PI);675;109;-;2178;-;-
São Francisco do Piauí (PI);463;291;-;-;-;-
São Gonçalo do Gurguéia (PI);815;194;-;-;-;-
São Gonçalo do Piauí (PI);370;139;-;-;-;-
São João da Canabrava (PI);242;81;-;126;-;-
São João da Fronteira (PI);362;104;-;116;-;-
São João da Serra (PI);949;207;-;-;-;-
São João da Varjota (PI);232;128;-;-;-;-
São João do Arraial (PI);135;326;-;-;-;-
São João do Piauí (PI);1517;540;-;1124;-;-
São José do Divino (PI);19823;427;-;2;-;-
São José do Peixe (PI);103;102;-;223;-;-
São José do Piauí (PI);473;394;-;483;-;-
São Julião (PI);708;131;-;41;-;-
São Lourenço do Piauí (PI);297;265;-;2090;-;-
São Luis do Piauí (PI);161;133;-;124;-;-
São Miguel da Baixa Grande (PI);337;41;-;-;-;-
São Miguel do Fidalgo (PI);158;123;-;109;-;-
São Miguel do Tapuio (PI);2215;545;-;265;-;-
São Pedro do Piauí (PI);1182;345;-;4;-;-
São Raimundo Nonato (PI);986;911;-;12834;-;-
Sebastião Barros (PI);395;339;-;-;-;-
Sebastião Leal (PI);163;146;-;-;-;-
Sigefredo Pacheco (PI);796;417;-;43;-;-
Simões (PI);965;434;-;2444;-;-
Simplício Mendes (PI);2117;341;-;4800;-;-
Socorro do Piauí (PI);348;78;-;1227;-;-
Sussuapara (PI);1100;322;-;51;-;-
Tamboril do Piauí (PI);309;199;-;-;-;-
Tanque do Piauí (PI);164;152;-;-;-;-
Teresina (PI);5955;17369;15;-;-;-
União (PI);1193;1655;-;-;-;-
Uruçuí (PI);1214;33299;-;1;-;-
Valença do Piauí (PI);1509;43051;-;208;-;-
Várzea Branca (PI);619;278;-;2758;-;-
Várzea Grande (PI);90;167;-;-;-;-
Vera Mendes (PI);362;176;-;764;-;-
Vila Nova do Piauí (PI);256;138;-;81;-;-
Wall Ferraz (PI);576;274;-;124;-;-
