Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Patos do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;155;105;-;-;...;-;-;-;-;...;-;...;-;33;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;273;450;-;-;55;-;359;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pau D'Arco do Piauí (PI);-;-;-;...;-;-;-;-;62;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;106;-;-;-;-;-;-;-;-;9;336;-;-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;-;1574;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Paulistana (PI);-;-;-;...;-;143;-;-;-;-;-;158;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;39;-;-;-;-;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;188;-;-;-;-;184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pavussu (PI);-;-;-;...;-;-;-;-;80;-;-;-;-;-;-;...;-;-;-;-;...;57;...;-;18;-;-;-;-;-;-;-;-;29;1052;-;-;-;-;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;1944;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pedro II (PI);-;-;-;...;-;-;-;-;68;-;-;-;-;-;-;...;-;-;-;-;...;84;...;-;240;-;-;-;-;-;-;-;-;292;3296;-;-;-;-;-;-;-;-;-;-;-;-;-;837;-;-;-;260;-;2491;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pedro Laurentino (PI);-;-;-;...;-;-;-;-;5;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;3;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;36;-;480;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nova Santa Rita (PI);-;-;-;...;-;-;-;-;5;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;8;-;-;-;-;-;-;-;-;-;224;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;865;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Picos (PI);-;-;-;...;-;-;-;-;4;-;-;1415;-;-;-;...;-;-;-;-;...;158;...;-;637;-;-;-;-;272;-;-;-;-;3835;-;-;-;-;-;-;-;-;-;-;-;63;-;640;363;-;-;351;-;1766;-;-;-;-;-;-;-;-;-;-;312;-;-;-;-;-
Pimenteiras (PI);-;-;-;...;-;-;-;-;43;-;-;302;-;-;-;...;-;-;-;-;...;-;...;-;353;-;-;-;-;51;-;-;-;10;3398;-;-;-;-;-;-;-;-;-;-;-;-;-;590;-;-;-;384;-;1200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pio IX (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;27324;-;-;-;-;-;-;-;-;39;16200;-;-;-;-;-;-;-;-;-;-;-;-;-;1980;-;-;-;-;-;6750;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Piracuruca (PI);-;-;-;...;-;-;-;-;1260;-;-;-;-;-;-;...;-;-;-;-;...;50;...;-;2526;-;-;-;-;-;-;-;-;-;2420;-;-;-;-;-;-;-;-;-;-;-;-;-;640;-;-;-;-;-;3841;-;-;-;-;-;-;-;13165;-;-;-;-;-;-;-;-
Piripiri (PI);-;-;-;...;-;-;-;-;900;-;-;-;-;-;-;...;-;-;-;-;...;83;...;-;600;-;-;-;-;-;-;-;-;40;3045;-;-;-;-;-;-;-;-;-;-;-;-;-;1035;-;-;-;500;-;1758;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Porto (PI);-;-;-;...;-;-;-;-;1848;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;5;-;-;-;-;-;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;205;-;-;-;-;-;181;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Porto Alegre do Piauí (PI);-;-;-;...;-;-;-;-;80;-;-;80;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;9;131;-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;8750;-;-;-;-;-;-;-;5460;485;-;-;-;-;-;-;-
Prata do Piauí (PI);-;-;-;...;-;-;-;-;73;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;6;-;-;-;-;-;-;-;-;11;38;-;-;-;-;-;-;-;-;-;-;-;-;-;92;-;-;-;125;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Queimada Nova (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;842;-;-;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;376;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Redenção do Gurguéia (PI);-;-;-;...;-;-;-;-;57;-;-;128;-;-;-;...;-;-;-;-;...;86;...;-;34;-;-;-;-;-;-;-;-;-;1702;-;-;-;-;-;-;-;-;-;-;-;-;-;585;-;-;-;900;-;441;-;-;-;-;-;-;-;5831;-;-;-;-;-;-;-;-
Regeneração (PI);-;-;-;...;-;-;-;-;1930;-;-;488;-;-;-;...;-;-;-;-;...;-;...;-;72;-;-;-;-;-;-;-;-;18;451;-;-;-;-;-;-;-;-;-;-;-;-;-;585;-;-;-;-;-;5840;-;-;-;-;-;-;-;113058;972;-;-;-;-;-;-;-
Riacho Frio (PI);-;-;-;...;-;-;-;-;60;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;432;-;-;-;-;-;-;-;-;-;-;-;-;-;98;-;-;-;-;-;370;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ribeira do Piauí (PI);-;-;-;...;-;-;-;-;14;-;-;50;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;143;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;132;-;351;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ribeiro Gonçalves (PI);-;-;-;...;-;-;-;-;5336;-;-;480;-;-;-;...;-;-;-;-;...;65;...;-;101;-;-;-;-;-;-;-;-;19;1294;-;-;-;-;-;-;46;-;-;-;-;-;-;455;-;-;-;-;-;160298;-;-;-;-;-;-;-;640180;4898;-;-;-;-;-;-;-
Rio Grande do Piauí (PI);-;-;-;...;-;-;-;-;31;-;-;151;-;-;-;...;-;-;-;-;...;71;...;-;44;-;-;-;-;-;-;-;-;19;143;-;-;-;-;-;-;-;-;-;-;-;-;-;113;-;-;-;440;-;900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Cruz do Piauí (PI);-;-;-;...;-;-;-;-;12;-;-;-;-;-;-;...;-;-;-;-;...;75;...;-;64;-;-;-;-;-;-;-;-;-;215;-;-;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;432;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Cruz dos Milagres (PI);-;-;-;...;-;-;-;-;338;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;6;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;893;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Filomena (PI);-;-;-;...;-;-;-;-;4566;-;-;-;-;-;-;...;-;-;-;-;...;140;...;-;-;-;-;-;-;-;-;-;-;56;6015;-;-;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;110858;-;-;-;-;-;-;-;580154;-;-;-;-;-;-;-;-
Santa Luz (PI);-;-;-;...;-;-;-;18;41;-;-;1560;-;-;-;...;-;-;-;-;...;54;...;-;6;-;-;-;-;-;-;-;-;200;1921;-;-;-;-;-;-;-;-;-;-;-;-;-;293;-;-;-;99;-;1572;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santana do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;30;-;-;-;-;-;-;-;-;-;945;-;-;-;-;-;-;-;-;-;-;-;-;-;2300;-;-;-;-;-;707;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Rosa do Piauí (PI);-;-;-;...;-;-;-;-;122;-;-;104;-;-;-;...;-;-;-;-;...;-;...;-;12;-;-;-;-;-;-;-;-;70;445;-;-;-;-;-;-;-;-;-;-;-;-;-;176;-;-;-;-;-;1397;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santo Antônio de Lisboa (PI);-;-;-;...;-;-;-;-;-;-;-;-;120;-;-;...;-;-;-;-;...;-;...;-;4378;61;-;-;-;-;-;-;-;-;1242;-;-;-;-;-;-;-;-;-;-;-;-;-;400;-;-;-;-;-;297;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santo Antônio dos Milagres (PI);-;-;-;...;-;-;-;-;152;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;3;-;-;-;-;-;-;-;-;9;90;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;143;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santo Inácio do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;6;-;-;-;-;-;-;-;-;-;123;-;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;255;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Braz do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;36;-;-;-;-;-;-;-;-;-;469;-;-;-;-;-;-;-;-;-;-;-;-;-;2696;-;-;-;-;-;1210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Félix do Piauí (PI);-;-;-;...;-;-;-;-;114;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;30;-;-;-;-;-;-;-;-;10;71;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Francisco de Assis do Piauí (PI);-;-;-;...;-;28;-;-;-;-;-;69;-;-;-;...;-;-;-;-;...;-;...;-;14;-;-;-;-;-;-;-;-;-;312;-;-;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;431;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-
São Francisco do Piauí (PI);-;-;-;...;-;-;-;-;43;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;21;-;-;-;-;-;-;-;-;-;726;-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;1635;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Gonçalo do Gurguéia (PI);-;-;-;...;-;-;-;-;30;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;55;-;-;-;-;490;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;576;-;-;-;-;-;-;-;3057;-;-;-;-;-;-;-;-
São Gonçalo do Piauí (PI);-;-;-;...;-;-;-;-;254;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;159;-;-;-;-;-;-;-;-;18;52;-;-;-;-;-;-;-;-;-;-;-;-;-;143;-;-;-;-;-;2491;-;-;-;-;-;-;-;28250;-;-;-;-;-;-;-;-
São João da Canabrava (PI);-;-;-;...;-;-;-;-;32;-;-;-;-;-;-;...;-;-;-;-;...;30;...;-;326;-;-;-;-;-;-;-;-;-;511;-;-;-;-;-;-;-;-;-;-;-;-;-;1517;-;-;-;-;-;2370;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João da Fronteira (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;108;...;-;174;-;-;-;-;-;-;-;-;-;725;-;-;-;-;-;-;-;-;-;-;-;-;-;218;-;-;-;259;-;428;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João da Serra (PI);-;-;-;...;-;-;-;-;336;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;5;-;-;-;-;-;-;-;-;-;192;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João da Varjota (PI);-;-;-;...;-;-;-;-;6;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;134;-;-;-;-;-;-;-;-;-;260;-;-;-;-;-;-;-;-;-;-;-;-;-;206;-;-;-;-;-;315;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João do Arraial (PI);-;-;-;...;-;-;-;-;440;-;-;59;-;-;-;...;-;-;-;-;...;-;...;-;25;-;-;-;-;-;-;-;-;11;301;-;-;-;-;-;-;-;-;-;-;-;-;-;180;-;-;-;-;-;191;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;706;-;-;-;...;-;-;-;-;...;-;...;-;3;-;-;-;-;275;-;-;-;-;432;-;-;-;108;-;-;-;-;-;-;-;-;-;360;-;-;-;120;-;706;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;240
São José do Divino (PI);-;-;-;...;-;-;-;-;448;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;24;-;-;-;-;-;-;-;-;-;570;-;-;-;-;-;-;-;-;-;-;-;-;-;187;-;-;-;60;-;518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São José do Peixe (PI);-;-;-;...;-;-;-;-;130;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;16;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;1048;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São José do Piauí (PI);-;-;-;...;-;-;-;-;7;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;381;-;-;-;-;-;-;-;-;-;1603;-;-;-;-;-;-;-;-;-;-;-;-;-;2250;-;-;-;-;-;3059;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Julião (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;53;-;-;-;-;-;-;-;-;-;1725;-;-;-;-;-;-;-;-;-;-;-;-;-;216;-;-;-;-;-;448;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Lourenço do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;417;-;-;-;-;-;-;-;-;-;-;-;-;-;178;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Luis do Piauí (PI);-;-;-;...;-;-;-;-;18;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;17;-;-;-;-;-;-;-;-;-;232;-;-;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;1367;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Miguel da Baixa Grande (PI);-;-;-;...;-;-;-;-;506;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;12;-;-;-;-;-;-;-;-;38;32;-;-;-;-;-;-;-;-;-;-;-;-;-;385;-;-;-;-;-;1224;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Miguel do Fidalgo (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;118;-;-;-;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;624;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Miguel do Tapuio (PI);-;-;-;...;-;-;-;-;117;-;-;259;-;-;-;...;-;-;-;-;...;1096;...;-;230;-;-;-;-;-;-;-;-;-;1485;-;-;-;-;-;-;-;-;-;-;-;-;-;284;-;-;-;-;-;1103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Pedro do Piauí (PI);-;-;-;...;-;-;-;-;1389;-;-;233;-;-;-;...;-;-;-;-;...;-;...;-;159;-;-;-;-;-;-;-;-;160;672;-;-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;413;-;950;-;-;-;-;-;-;-;1299;-;-;-;-;-;-;-;-
São Raimundo Nonato (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;78;-;-;-;-;-;-;-;-;-;1046;-;-;-;-;-;-;-;-;-;-;-;-;-;2440;-;-;-;-;-;340;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sebastião Barros (PI);-;-;-;...;-;-;-;-;31;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;307;-;-;-;-;-;-;-;-;-;-;-;-;-;306;-;-;-;-;-;1186;-;-;-;-;-;-;-;8954;-;-;-;-;-;-;-;-
Sebastião Leal (PI);-;-;-;...;-;24990;-;-;1025;-;-;130;-;-;-;...;-;-;-;-;...;-;...;-;8;-;-;-;-;-;-;-;-;-;635;-;-;-;-;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;71103;-;-;-;-;-;-;-;342713;16997;-;-;-;-;-;-;-
Sigefredo Pacheco (PI);-;-;-;...;-;-;-;-;80;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;207;-;-;-;-;-;-;-;-;-;673;-;-;-;-;-;-;-;-;-;-;-;-;-;113;-;-;-;1232;-;2622;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Simões (PI);-;-;-;...;-;67;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;680;-;-;-;51;-;-;-;-;-;-;-;-;-;40932;110;-;-;104;-;3294;-;-;-;-;-;-;-;-;-;-;342;-;-;-;-;-
Simplício Mendes (PI);-;-;-;...;-;-;-;-;9;-;-;673;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;704;-;-;-;-;-;-;-;-;-;-;-;-;-;270;-;-;-;-;-;455;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Socorro do Piauí (PI);-;-;-;...;-;-;-;-;20;-;-;75;-;-;-;...;-;-;-;-;...;-;...;-;18;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;476;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sussuapara (PI);-;-;-;...;-;-;-;-;-;-;-;1915;-;-;-;...;-;-;-;-;...;-;...;-;21;-;-;-;-;120;-;-;-;-;165;-;-;-;-;-;-;-;-;-;-;-;-;-;156;-;-;-;70;-;491;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tamboril do Piauí (PI);-;-;-;...;-;-;-;-;14;-;-;78;-;-;-;...;-;-;-;-;...;-;...;-;3;-;-;-;-;-;-;-;-;-;1485;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;1328;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tanque do Piauí (PI);-;-;-;...;-;-;-;-;119;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;149;-;-;-;-;-;-;-;-;846;306;-;-;-;-;-;-;-;-;-;-;-;-;-;288;-;-;-;-;-;412;-;-;-;-;-;-;-;9868;-;-;-;-;-;-;-;-
Teresina (PI);-;-;-;...;-;-;-;-;2411;-;-;798;-;-;-;...;-;-;-;-;...;32448;...;-;122;-;-;-;-;1941;-;-;-;18;581;-;-;-;158;-;-;855;-;-;-;-;-;-;990;500;-;-;788;-;1287;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
União (PI);-;-;-;...;-;-;-;-;1728;-;-;110;-;-;-;...;-;-;-;-;...;81383;...;-;43;-;-;-;-;46;-;-;-;18;1256;-;-;-;-;-;-;248;-;-;-;-;-;-;540;306;-;-;1000;-;1833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Uruçuí (PI);-;-;-;...;-;14044;-;-;2268;-;-;-;-;-;-;...;-;-;-;-;...;138;...;-;257;-;-;-;-;-;-;-;-;84;4950;-;-;-;-;-;-;-;-;-;-;-;-;-;315;-;-;-;302;-;294727;-;-;-;-;-;-;-;1555581;20253;-;-;-;-;-;-;-
Valença do Piauí (PI);-;-;-;...;-;-;-;-;62;-;-;4374;-;-;-;...;-;-;-;-;...;238;...;-;838;-;-;-;-;875;-;-;-;-;166;-;-;-;-;-;-;98;-;-;-;-;-;-;1534;106;1680;-;210;-;858;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Várzea Branca (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;955;-;-;-;-;-;-;-;-;-;-;-;-;-;166;-;-;-;-;-;979;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Várzea Grande (PI);-;-;-;...;-;-;-;-;72;-;-;534;-;-;-;...;-;-;-;-;...;28;...;-;67;-;-;-;-;-;-;-;-;196;20;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;191;-;216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vera Mendes (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;26;-;-;-;-;-;-;-;-;-;575;-;-;-;-;-;-;-;-;-;-;-;-;-;364;-;-;-;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vila Nova do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;263;-;-;-;-;-;-;-;-;-;272;-;-;-;-;-;-;-;-;-;-;-;-;-;220;-;-;-;-;-;1440;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Wall Ferraz (PI);-;-;-;...;-;-;-;-;2;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;26;-;-;-;-;-;-;-;-;-;626;-;-;-;-;-;-;-;-;-;-;-;-;-;406;-;-;-;-;-;154;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
