Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Batalha (PI);-;-;-;...;-;-;-;-;2070;-;-;383;-;-;-;...;-;-;-;-;...;106;...;-;666;-;-;-;-;-;-;-;-;-;694;-;-;-;-;-;-;26;-;-;-;-;-;-;578;243;-;-;236;-;698;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bela Vista do Piauí (PI);-;-;-;...;-;-;-;-;11;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1300;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;2593;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Belém do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;175;-;-;-;-;23;-;-;-;-;207;-;-;-;-;-;-;-;-;-;-;-;-;-;108;-;-;-;-;-;179;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Beneditinos (PI);-;-;-;...;-;-;-;-;685;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;115;-;-;-;-;-;-;-;-;-;507;-;-;-;-;-;-;-;-;-;-;-;-;-;500;-;-;-;2500;-;142;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bertolínia (PI);-;-;-;...;-;-;-;-;162;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;23;-;-;-;-;-;-;-;-;29;488;-;-;-;-;-;-;-;-;-;-;-;-;-;126;-;-;-;-;-;1346;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Betânia do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;583;-;-;-;-;-;-;-;-;-;-;-;-;-;540;-;-;-;-;-;1126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Boa Hora (PI);-;-;-;...;-;-;-;-;248;-;-;-;-;-;-;...;-;-;-;-;...;3907;...;-;52;-;-;-;-;-;-;-;-;-;242;-;-;-;-;-;-;-;-;-;-;-;-;-;342;-;-;-;-;-;83;-;-;-;-;-;-;-;5592;-;-;-;-;-;-;-;-
Bocaina (PI);-;-;-;...;-;-;-;-;11;-;-;268;-;-;-;...;-;-;-;-;...;16;...;-;78;-;-;-;-;112;-;-;-;-;653;-;-;-;-;-;-;-;-;-;-;-;-;-;162;-;-;-;-;-;427;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bom Jesus (PI);-;-;-;...;-;-;-;-;3768;-;-;320;-;-;-;...;-;-;-;-;...;81;...;-;54;-;-;-;-;97;-;-;-;100;3989;-;-;-;-;-;-;-;-;-;-;-;-;-;665;90;-;-;836;-;88595;-;-;-;-;-;-;-;643421;-;-;-;-;-;-;-;-
Bom Princípio do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;1333;-;-;-;-;-;-;-;-;-;3475;-;-;-;-;-;-;50;-;-;-;-;-;-;12076;185;-;-;-;-;1853;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
