Município;Bovino;Bubalino;Equino;Suíno - total;Caprino;Ovino;Galináceos - total;Codornas
Ribeiro Gonçalves (PI);8926;-;122;645;240;601;87385;-
Rio Grande do Piauí (PI);5410;-;363;5888;5541;5008;23254;-
Santa Cruz do Piauí (PI);5415;-;160;2777;2652;6331;15258;-
Santa Cruz dos Milagres (PI);4402;-;234;1025;8050;4070;9520;-
Santa Filomena (PI);14017;-;242;1957;2563;1222;23906;-
Santa Luz (PI);13328;-;255;428;1539;2022;16034;-
Santana do Piauí (PI);897;-;43;584;109;207;9566;-
Santa Rosa do Piauí (PI);5396;-;191;1529;2254;5413;10776;-
Santo Antônio de Lisboa (PI);2514;-;34;1203;956;1090;13733;-
Santo Antônio dos Milagres (PI);261;-;22;1359;501;227;8224;-
Santo Inácio do Piauí (PI);4628;-;213;2638;7622;7399;13317;-
São Braz do Piauí (PI);1471;-;231;2283;5228;5537;19744;-
São Félix do Piauí (PI);5809;-;96;1014;7765;8610;6269;-
São Francisco de Assis do Piauí (PI);3975;-;378;2806;25132;19527;10368;-
São Francisco do Piauí (PI);5793;-;233;4883;13600;7877;26956;-
São Gonçalo do Gurguéia (PI);5961;-;168;1174;206;893;10920;-
São Gonçalo do Piauí (PI);2423;-;39;1842;951;403;14105;-
São João da Canabrava (PI);1134;-;43;2114;2085;1660;7160;-
São João da Fronteira (PI);3341;-;129;3273;7415;3556;7336;-
São João da Serra (PI);8263;-;397;2463;19214;14459;16638;-
São João da Varjota (PI);1462;-;59;2379;1061;727;9946;-
São João do Arraial (PI);2182;-;58;6280;3710;188;21813;-
São João do Piauí (PI);6278;-;495;5428;20741;19458;25044;-
São José do Divino (PI);10158;-;216;3024;9944;6255;13803;-
São José do Peixe (PI);5793;-;300;1192;3893;7713;6295;-
São José do Piauí (PI);3138;-;206;3010;388;273;27279;-
São Julião (PI);2672;-;108;1390;5164;10330;8940;-
São Lourenço do Piauí (PI);1788;-;104;7593;32046;22355;19145;-
São Luis do Piauí (PI);1435;-;57;3702;5694;2592;9560;-
São Miguel da Baixa Grande (PI);2387;-;43;1250;3113;3435;4318;-
São Miguel do Fidalgo (PI);3268;-;182;1664;2997;3530;8827;-
São Miguel do Tapuio (PI);14989;-;307;8164;41743;25658;48645;-
São Pedro do Piauí (PI);6356;-;128;3192;1140;556;114032;-
São Raimundo Nonato (PI);4464;-;375;10484;51806;24865;59281;-
Sebastião Barros (PI);16817;-;583;1315;1682;3803;24379;-
Sebastião Leal (PI);7799;-;92;804;242;972;17870;-
Sigefredo Pacheco (PI);6806;-;390;10938;27494;13256;38405;-
Simões (PI);7368;-;579;2803;11015;37094;34007;-
Simplício Mendes (PI);9707;-;528;3752;14398;22669;40382;-
Socorro do Piauí (PI);3596;-;145;2050;11521;4373;7758;-
Sussuapara (PI);1999;-;49;1735;1129;1122;18305;-
Tamboril do Piauí (PI);2418;-;168;3463;10562;3634;14505;-
Tanque do Piauí (PI);1252;-;41;1183;2147;604;11763;-
Teresina (PI);9876;17;426;14271;5689;5939;2996361;235
União (PI);9584;-;793;31021;14853;9512;146212;-
Uruçuí (PI);19612;-;209;4064;1278;1562;310209;-
Valença do Piauí (PI);6296;-;194;4107;4807;7003;517264;-
Várzea Branca (PI);2365;-;357;3313;17970;7104;18033;-
Várzea Grande (PI);1644;-;47;1609;2373;1651;18722;-
Vera Mendes (PI);2119;-;157;2679;15294;11586;12865;-
Vila Nova do Piauí (PI);3216;-;135;878;1564;6722;9169;-
Wall Ferraz (PI);3456;-;145;4773;4166;8016;19556;-
